State,State Code,Shield Law,Gender Marker on ID (adult),Gender Marker on ID (minor),Gender Marker Options on ID,Gender Marker on Birth Certificate (adult),Gender Marker on Birth Certificate (minor),Gender Marker options on Birth Certificate,Name Change (adult),Name Change (minor),Non-Discrimination,Foster Care Non-Discrimination,Adoption Non-Discrimination,Child Welfare Non-Discrimination for LGBTQ Youth,Recognition of Assisted-Reproduction,VAP for Non-Genetic LGBTQ Parents,Gender Inclusive Bathroom Laws (Adult),Gender Inclusive Bathroom Laws (minor),LGBTQ Inclusive Curriculum,Anti-Bullying Legal Protections for TGNC* students,Non-Discrimination  Protections for LGBTQ Students,Gay/ Trans Panic Defense Ban,Hate Crime Laws Specific to Gender Identity,Jury Service Non-Discrimination Based on Gender Identity,Gender Inclusive Correctional Housing ,Gender Affirming Care in Correctional Facilities,Trans Bathroom Ban K-12,Trans Bathroom Ban in Schools and Government Buildings,State Defines Sex,Broad ‘RFRA’,Religious Exemption for Child Welfare,Religious Exemption for Medical Professionals,Marriage Services and/or Marriage License Denial,Drag Ban,Don’t Say Gay,Specific Subject Restrictions,Parental Notification (opt-in or opt-out),Sports Ban,Forced Outing in Schools,Ban on Best Practice Medical Care for Trans Youth,Barriers to Identity Documents,Abortion Access,Interstate Abortion Shield Law
Pennsylvania,PA,FALSE,1,1,TRUE,1,1,FALSE,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Rhode Island,RI,FALSE,1,1,TRUE,1,1,TRUE,0,0,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,0.5,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0.5,FALSE
South Carolina,SC,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,-1,0,0,0,0,0,-1,0,0,0,-0.5,FALSE
South Dakota,SD,FALSE,-1,-1,FALSE,-1,-1,FALSE,0,0.5,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,-1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,0,-1,0,-1,0,-1,FALSE
Tennessee,TN,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,-1,0,-1,-1,-1,-1,0,-0.5,0,0,-1,-1,0,-1,-1,-1,FALSE
Texas,TX,FALSE,-1,-1,FALSE,-1,-1,FALSE,1,1,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,-1,0,-1,0,-1,0,-1,FALSE
Utah,UT,FALSE,-1,-1,TRUE,-1,-1,TRUE,1,1,0.5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0.5,TRUE,TRUE,FALSE,FALSE,FALSE,-1,-1,-1,0,-1,0,0,0,0,0,0,-1,-0.5,-1,0,0.5,FALSE
Vermont,VT,TRUE,1,1,TRUE,1,1,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
Virginia,VA,FALSE,1,1,TRUE,0.5,0.5,FALSE,1,1,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,TRUE,TRUE,FALSE,FALSE,FALSE,0,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Washington,WA,TRUE,1,1,TRUE,1,0.5,TRUE,1,1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,1,1,TRUE,TRUE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,TRUE
West Virginia,WV,FALSE,0,0,FALSE,1,1,FALSE,0,0,-1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,0.5,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,-1,0,0,0,0,0,0,0,-1,0,-1,0,-1,FALSE
Wisconsin,WI,FALSE,0,0,FALSE,-1,-1,FALSE,0.5,0.5,-1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,FALSE
Wyoming,WY,FALSE,0.5,0.5,FALSE,-1,-1,FALSE,-1,-1,-1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-0.5,FALSE
